,county_id,newspaper
abc30.com,Fresno,KFSN ABC30 - Fresno County
abclocal.go.com,San Francisco,KGO - ABC - SF
bakersfieldnow.com,Kern,Bakersfield Now - KBAK
benitolink.com,San Benito,BenitoLink
californiawatch.org,all,California Watch
calmatters.org,All,CalMatters
capitolweekly.net,All,Capitol Weekly
centerforhealthreporting.org,All,Center for Health Reporting - USC
chronicleofsocialchange.org,Los Angeles,Chronicle of Social Change
cironline.org,All,Center for Investigative Reporting
eastcountymagazine.org,San Diego,East County Magazine
edhtelegraph.com,El Dorado,El Dorado Hills Telegraph
goldrushcam.com,Mariposa,Sierra Sun Times - Mariposa
hanfordsentinel.com,Kings,Hanford Sentinel
hidesertstar.com,San Bernardino,Hi-Desert Star
kcbx.org,San Luis Obispo,KCBX San Luis Obispo
kiem-tv.com,Del Norte,KIEM Del Norte
kvpr.org,Stanislaus,KVPR - Central Valley Radio
kxoradio.com,Imperial,KXO Radio AM1230 - IMPERIAL CTY
ledger-dispatch.com,Amador,Amador Ledger Dispatch
lompocrecord.com,Santa Barbara,Lompoc Record
lostcoastoutpost.com,Humboldt,Lost Coast Outpost - Humboldt
missionlocal.org,San Francisco,Mission Local
mv-voice.com,Santa Clara,Mountain View Voice
myvalleynews.com,Riverside,Temecula Valley News
napavalleyregister.com,Napa,Napa Valley Register
newsroom.ucr.edu,San Bernardino,UC Riverside News Press
peninsulapress.com,San Mateo,Peninsula Press
placercountyonline.com,Placer,Placer County Online
projects.propublica.org,all,Pro Publica
radio.krcb.org,Sonoma,KRCB - Sonoma County
richmondconfidential.org,Contra Costa,Richmond Confidential
richmondstandard.com,Contra Costa,Richmond Standard
santamariatimes.com,Santa Barbara,Santa Maria Times
sfist.com,San Francisco,SFist
tcnpress.com,Glenn,Glenn County Transcript
theava.com,Mendocino,Anderson Advertiser - Mendo
thesheetnews.com,Mono,The Sheet - Mono County
tracypress.com,San Joaquin,Tracy Press
voiceofoc.org,Orange,Voice of OC
westsidetoday.com,Los Angeles,WestSide Today
ww2.kqed.org,San Francisco,KQED - SanFrancisco
www.agalert.com,All,California AgAlert
www.almanacnews.com,San Mateo,Almanac News
www.alpenhornnews.com,San Bernardino,Alpenhorn News
www.andersonvalleypost.com,Shasta,Anderson Post - Shasta
www.appeal-democrat.com,Yuba,Marysville Appeal-Democrat
www.auburnjournal.com,Placer,Auburn Journal
www.bakersfield.com,Kern,Bakersfield Californian
www.bigbeargrizzly.net,San Bernardino,Big Bear Grizzly
www.calaverasenterprise.com,Calaveras,Calaveras Enterprise
www.californiahealthline.org,All,California Healthline
www.capradio.org,Sacramento,KXJZ - Sacramento Public Radio
www.cbs8.com,San Diego,KFMB-TV - CBS8-San Diego
www.centralvalleybusinesstimes.com,Tulare,Central Valley Business Times
www.cfbf.com,All,California Farm Bureau Federation
www.chicoer.com,Butte,Chico Enterprise-Record
www.chinohills.com,San Bernardino,Chino Hills
www.colusa-sun-herald.com,Colusa,Colusa Sun Herald
www.contracostatimes.com,Contra Costa,Contra Costa Times
www.corning-observer.com,Tehama,Corning Observer
www.crestlinecourier-news.com,San Bernardino,Crestline Courier-News
www.csac.counties.org,All,CSAC County Voice Blog
www.dailybreeze.com,Los Angeles,Daily Breeze
www.dailybulletin.com,San Bernardino,Inland Valley Daily Bulletin
www.dailydemocrat.com,Yolo,Woodland Daily Democrat
www.dailynews.com,Los Angeles,Los Angeles Daily News
www.dailyrepublic.com,Solano,Fairfield Daily Republic
www.davisenterprise.com,Yolo,Davis Enterprise
www.delmartimes.net,San Diego,Del Mar Times
www.desertdispatch.com,San Bernardino,Desert Dispatch
www.desertsun.com,Riverside,Desert Sun
www.eastbayexpress.com,Alameda,East Bay Express
www.eastbaytimes.com,Contra Costa,Contra Costa Times
www.fontanaheraldnews.com,San Bernardino,Fontana Herald News
www.fresnobee.com,Fresno,Fresno Bee
www.fsgnews.com,Tulare,Foothill Sun Gazette - Tulare
www.gilroydispatch.com,Santa Clara,Gilroy Dispatch
www.hesperiastar.com,San Bernardino,Hesperia Star
www.highlandnews.net,San Bernardino,Highland News
www.hmbreview.com,San Mateo,Half Moon Bay Review
www.independent.com,Santa Barbara,Santa Barbara Independent
www.independentnews.com,Alameda,Independent News
www.insidebayarea.com,Contra Costa,Tri-Valley Herald
www.inyoregister.com,Inyo,Inyo Register
www.ivpressonline.com,Imperial,Imperial Valley Press
www.kalw.org,all,KALW Radio News
www.kcet.org,Los Angeles,KCET - SoCal Public TV
www.kcra.com,Placer,KCRA - Sacramento Placer
www.kesq.com,Riverside,KESQ.com Palm Springs - Riverside Cty
www.keyt.com,Santa Barbara,KEYT - Santa Barbara
www.kionrightnow.com,Monterey,KION - Monterey
www.kpbs.org,San Diego,KPBS - San Diego
www.kpsplocal2.com,Riverside,KPSP Local 2 - Riverside County
www.krcrtv.com,Shasta,KRCR TV ABC 7 - Shasta
www.ksbw.com,Santa Cruz,KSBW News 8 -Santa Cruz
www.ksby.com,San Luis Obispo,KSBY Channel 6 - SLO Santa Barb County
www.ktvu.com,San Francisco,KTVU SF-Marin-Sonoma
www.kusi.com,San Diego,KUSI - San Diego
www.lakeconews.com,Lake,Lake County News
www.lassennews.com,Lassen,Lassen County News
www.latimes.com,Los Angeles,Los Angeles Times
www.lodinews.com,San Joaquin,Lodi News-Sentinel
www.losbanosenterprise.com,Merced,Los Banos Enterprise
www.maderatribune.com,Madera,Madera Tribune
www.marinij.com,Marin,Marin Independent Journal
www.marinscope.com,Marin,Marinscope
www.mariposagazette.com,Mariposa,Mariposa Gazette
www.marketplace.org,All,Marketplace - NPR
www.mercedcountytimes.net,Merced,Merced County Times
www.mercedsunstar.com,Merced,Merced Sun-Star
www.mercurynews.com,Santa Clara,San Jose Mercury News
